epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1281.61,1.68156,3.86014,3.44799,1.68701,0,0.32828,0.0597,0.09555,0.05117,0.32828,0.0597,0.1005,0.05075,1.57829,2.92578,3.12445,1.48082,0,0.00198889,0.000662963,0.00198889,0.000662963,0.00198889,0.000662963,0.00198889,0.000662963
2,2123.2,1.43258,2.83339,2.97559,1.46757,0,0.42946,0.35323,0.33995,0.18742,0.46186,0.35323,0.3543,0.18545,1.49198,2.54293,2.5424,1.36436,0,0.00359399,0.001198,0.00359399,0.001198,0.00359399,0.001198,0.00359399,0.001198
3,3021.18,1.35155,2.42151,2.39601,1.37533,0,0.62863,0.56716,0.61148,0.33325,0.63966,0.57711,0.62205,0.33969,1.41121,2.36885,2.06988,1.30557,0,0.00480309,0.00160103,0.00480309,0.00160103,0.00480309,0.00160103,0.00480309,0.00160103
4,4130.14,1.31434,2.3101,2.1665,1.35808,0,0.64178,0.59701,0.63615,0.37164,0.65832,0.61194,0.66289,0.36246,1.41128,2.35184,1.9631,1.30734,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,5243.75,1.26394,2.16226,1.96267,1.30571,0,0.53453,0.63682,0.62211,0.3573,0.6044,0.61194,0.64006,0.36247,1.42566,2.27916,1.88395,1.32623,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,6206.09,1.21092,2.08722,1.84007,1.27985,0,0.57466,0.63682,0.63777,0.3678,0.58445,0.65174,0.6531,0.36251,1.37228,2.26906,1.8393,1.33335,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,7092.78,1.1762,2.05039,1.75539,1.25933,0,0.64606,0.61692,0.64757,0.38355,0.67322,0.61499,0.66387,0.37723,1.36447,2.20484,1.77747,1.29356,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,7836.72,1.16124,1.97746,1.67781,1.23717,0,0.72138,0.61692,0.68974,0.40418,0.7272,0.62189,0.69156,0.40345,1.35457,2.21511,1.6851,1.29818,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,8542.01,1.14683,1.95152,1.62494,1.20129,0,0.65698,0.66701,0.69053,0.41163,0.65698,0.66701,0.69585,0.40213,1.37392,2.21955,1.67651,1.2977,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,8969.45,1.12136,1.94118,1.60517,1.20953,0,0.68347,0.66604,0.71589,0.43149,0.70113,0.66527,0.72297,0.42618,1.34199,2.18719,1.6338,1.27818,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
